ds,yhat,yhat_lower,yhat_upper
2023-05-31,30.138228481123534,23.547429960960674,36.55935016331821
2023-06-30,45.69114643314536,38.598578437629186,52.322642727054074
2023-07-31,54.593223471296966,48.011052994238966,61.54127490122155
2023-08-31,55.14745888929007,48.730276195690635,61.42977955964944
2023-09-30,40.87246091680232,34.220894249321276,47.03151468114681
2023-10-31,51.10616320334566,44.5790729138957,57.48066326478827
2023-11-30,40.47038023662093,34.188264764115424,47.14615408291895
2023-12-31,56.31215890562549,49.699844502848414,62.72198300498784
2024-01-31,46.87729492618519,40.41441154488506,53.96286422077757
2024-02-29,42.19001846846348,35.09590637591494,48.95762369579908
2024-03-31,42.39115627749951,36.14614589234763,48.67593707731723
2024-04-30,43.90201072901426,37.3530159799906,50.64924586616445
2024-05-31,47.98705589292926,41.440338800512194,54.642310047542765
2024-06-30,35.30935254375615,29.169272053623807,41.44549772327997
2024-07-31,45.412940464260714,39.12480506357059,51.616518946960014
2024-08-31,46.865850074403646,40.03409000134838,52.91471541836733
2024-09-30,30.174814232350066,22.94839755564202,36.659388208493084
2024-10-31,39.934413245370585,33.51039671585372,46.67934404142349
2024-11-30,42.56819230053184,36.12934568397582,49.046303127903606
2024-12-31,66.7082302796426,59.628050628215625,73.18942303257838
2025-01-31,41.125747743858604,34.09899516934837,47.67252623756361
2025-02-28,40.779419481428874,34.323449137938745,47.56856133691294
2025-03-31,40.56706665625973,33.76538357796668,47.11911979978208
2025-04-30,38.063335276485795,30.693188719518513,45.22781827264097
2025-05-31,34.8331197770075,28.48602767529753,41.49865838588541
2025-06-30,31.425954156099706,24.693591612614465,38.09019211474977
2025-07-31,41.218146368676315,34.92338922704452,47.856910855476336
2025-08-31,42.393310620908906,35.884354670078835,49.129123227278484
2025-09-30,26.533549455967893,20.27151395286649,33.88912428257956
2025-10-31,36.530959591312666,30.21209182561101,43.20901536067141
2025-11-30,34.741850557320156,27.725490392936045,41.45713559936008
